type,tags,title,weight,detail,item#
enhancement,"backend, saas",Technical improvements to Execute to allow it to be efficiently containerized using Docker.  This will simplify and improve the management of Quorum hosted Execute environments.  It does not affect on-prem Execute installations. ,,,151575
enhancement,"backend, saas",Improvements to management of configuration files and plugins in Quorum-hosted Execute environments.  This should vastly reduce turn around time for changes to plugins. ,,,154672
enhancement,"enersight,opsched","When pushing a schedule to Enersight, capital is only pushed across for static activities (avoiding unnecessary errors). ",,,156073
bug,opsched,Resolved issue where the Operational Scheduling view editor would sometimes break (and remove) milestone configuration. ,,,156813
feature,integration,"Added support for ODBC in Data Selection, Data Synchronization and Table Replication (Integration Agent).  This means that these types of integrations are no longer limited to either Oracle or SQL Server, but can now work against most data providers that have an ODBC driver (such as Snowflake, Excel, Access, ...). ",,,157945
bug,admin,Fixed issue where User Reassign tool wouldn't always close after completing the reassignment. ,,,161970
enhancement,integration,"Relaxed database type checking for data selection and data synchronization for numeric types.  Avoids the need to coerce source data column definition into matching, exactly, what was in Execute. ",,,162694
feature,security,Added the ability to integrate Execute directly with some OIDC providers (such as Azure AD).,,,164641
feature,security,"Added the ability to turn off ""Device Pairing"" completely.  Useful for environments that wish to require all devices authenticate through federated AD/Okta. ",,pairing,164641
enhancement,admin,"Modified the ""New Field"" dialog to be full width to make editing calculated field formulas more pleasant (i.e. nobody likes postage stamp sized formulas). ",,,164873
bug,workflow,Fixed issue where a user viewing a task via. the Group Task widget would be unable to take and complete the task. ,,,165284
bug,"afe,saas",Resolved issue that prevent integration with enVision via. the Integration Agent (for hosted Execute environments). ,,,165296
bug,afe,Fixed minor error where deleting an AFE wouldn't automatically clean up document links to that AFE. ,,,165514
note,,.NET 6,,dotnet,
schema,,Assorted changes,,schema1,
